id,Title,Embedding_10d,Danceability,Energy,Valence,Loudness,Speechiness,Acousticness,Instrumentalness
0CrcwVLUe8wzLUIXgjXVZJ,Kill Bill (feat. Doja Cat),"0.0697,0.0162,0.0631,0.0417,-0.0464,0.0021,0.1708,0.1194,-0.1985,-0.0956",0.5751295336787566,0.720489977728285,0.43995749202975565,0.7278757300249693,0.029315960912052116,0.07746478873239436,0.2741398446170921
0CtZpaOhtzvLV3FfcsVpQo,"Besharam Rang (From ""Pathaan"")","0.0459,0.0170,0.0046,-0.0135,-0.0087,-0.0114,0.0829,0.0092,-0.0201,-0.0124",0.7616580310880833,0.7772828507795101,0.6503719447396388,0.7539553890327613,0.029315960912052116,0.05935613682092555,0.0022197558268590455
0DWdj2oZMBFSzRsi2Cvfzf,TQG,"0.0651,-0.0069,0.0558,-0.0438,0.0257,0.0655,0.1137,0.0461,-0.1202,-0.0422",0.6930051813471503,0.5935412026726058,0.6057385759829969,0.8423685430796202,0.41368078175895767,0.6770623742454729,0.0
0EgLxY52mpGsXETyEsgVlP,HOPE,"0.0546,0.0711,0.1001,0.0974,-0.0248,-0.0112,0.2438,0.1233,-0.2552,-0.1455",0.46761658031088105,0.7683741648106904,0.48884165781083966,0.8212204720613766,0.3078175895765472,0.3983903420523139,0.0
0FA4wrjDJvJTTU8AepZTup,Watch This - ARIZONATEARS Pluggnb Remix,"0.0557,0.0144,0.0573,0.0243,-0.0072,-0.0362,0.1138,0.0626,-0.1097,-0.0515",0.6489637305699485,0.89086859688196,0.33793836344314565,0.9996382169279378,0.026058631921824102,0.01006036217303823,0.11431742508324083
0FirgnvrpCkkhdaq64Gfen,YANKEE,"0.0136,0.0155,0.0715,0.0217,0.0604,0.0747,0.1739,0.1049,-0.0913,-0.1126",0.4650259067357515,0.7238307349665924,0.46652497343251864,0.7929638057428829,0.2785016286644951,0.39134808853118713,0.0
0GjEhVFGZW8afUYGChu3Rr,Dancing Queen,"0.0141,-0.0555,0.0736,-0.0066,0.0221,-0.0524,0.0906,0.0571,-0.0155,-0.0184",0.46373056994818673,0.8608017817371938,0.7619553666312434,0.7105485289806099,0.03257328990228013,0.3601609657947686,0.0011098779134295228
0H1zX27yxoDrsrQA1hk5Uq,O Come All Ye Faithful,"0.1129,0.0261,0.1150,0.0938,-0.0617,-0.0202,0.2225,0.1233,-0.2483,-0.1796",0.10492227979274615,0.13363028953229397,0.16896918172157283,0.47814189138306284,0.016286644951140065,0.6388329979879275,0.0
0HEzuLLojblUOaUSdmJ9gl,Did you know that there's a tunnel under Ocean Blvd,"0.0880,0.0585,0.1138,0.0632,-0.0330,-0.0404,0.2105,0.1668,-0.2429,-0.1933",0.3523316062176167,0.2739420935412027,0.020191285866099896,0.5829048146204967,0.013029315960912051,0.8098591549295775,0.019977802441731408
0HYAsQwJIO6FLqpyTeD3l6,Shinunoga E-Wa,"0.0279,0.0184,0.0918,-0.0313,-0.0183,-0.0305,-0.0279,-0.0282,-0.0332,-0.0691",0.5375647668393784,0.7383073496659243,0.512221041445271,0.7279201587455959,0.035830618892508145,0.16800804828973842,0.0
0IKeDy5bT9G0bA7ZixRT4A,Bebe Dame,"0.0612,-0.0201,-0.0051,0.0527,0.0004,-0.0228,0.1001,0.0493,-0.0693,-0.0502",0.44559585492227993,0.5623608017817372,0.7640807651434645,0.7942966673616798,0.03745928338762215,0.30080482897384303,0.0
0Ie5uiv54KgCr7P4sYDTHl,Baby It's Cold Outside (duet with Michael Bublé),"0.0171,-0.0055,0.0640,-0.0344,-0.0251,0.0111,0.0886,0.0138,-0.0700,-0.0481",0.47668393782383445,0.42204899777282856,0.5536663124335814,0.605918891905056,0.06840390879478828,0.6509054325955734,0.0
0Iozrbed8spxoBnmtBMshO,WANDA,"0.0136,0.0155,0.0715,0.0217,0.0604,0.0747,0.1739,0.1049,-0.0913,-0.1126",0.6981865284974095,0.5946547884187082,0.9776833156216791,0.9997608401968671,0.0749185667752443,0.2505030181086519,0.0
0IrKbfhVKW0xpPEzRDeSUb,Santa Claus Llegó a La Ciudad,"0.0307,0.0729,0.0168,-0.0030,-0.0301,0.0042,0.0847,0.0111,-0.1093,-0.0473",0.42357512953367893,0.8407572383073496,0.7247608926673752,0.8957274365521215,0.2752442996742671,0.3843058350100603,0.0
0JIYoXtJfORxI6gRpHv6ZW,Traumatizei - Ao Vivo Em Brasília,"-0.0300,0.0497,0.0997,0.0489,0.0826,-0.0206,0.1343,0.0903,-0.1301,-0.0649",0.38601036269430056,0.9053452115812918,0.5727948990435707,0.8456118396853592,0.10097719869706841,0.13078470824949698,0.0
0JIhRhZPF5j5dx0FGqTWxy,I'll Be Waiting,"0.0939,-0.0341,0.0286,-0.0638,-0.0133,-0.0291,0.0266,0.0759,-0.0282,-0.0925",0.4196891191709846,0.5812917594654788,0.5387885228480341,0.8177106031318782,0.026058631921824102,0.3571428571428571,0.0
0JM8LI4HxrQs2Reqr2naYo,All I Want (For Christmas),"0.0839,0.0458,0.1014,0.0362,0.0130,-0.0385,0.1930,0.1192,-0.2242,-0.1398",0.5142487046632125,0.178173719376392,0.27630180658873543,0.5521601399469156,0.02117263843648208,0.8158953722334004,0.0
0JXXNGljqupsJaZsgSbMZV,Sure Thing,"0.0936,0.0162,0.0977,0.0980,-0.0218,0.0003,0.2360,0.1587,-0.2079,-0.1295",0.646373056994819,0.5679287305122495,0.4899043570669501,0.6388850026099651,0.1254071661237785,0.02716297786720322,0.0
0JmnkIqdlnUzPaf8sqBRs3,Moonlight,"0.0328,0.0443,0.0282,-0.0071,0.0777,0.0748,0.0026,0.0565,-0.0680,-0.0499",0.5919689119170987,0.6781737193763919,0.9128586609989374,0.6946430469963008,0.04723127035830618,0.5211267605633803,0.0
0JtgoDDf0ggWaoXCGhcOoT,Sunrise,"0.1125,0.0178,0.0555,0.0653,-0.0577,0.0053,0.2292,0.1322,-0.2260,-0.1528",0.5544041450777204,0.7438752783964365,0.32518597236981944,0.7752367462128846,0.014657980456026058,0.2605633802816901,0.0
0NO2zL0kw8sGGnaMvHKAZF,Marisola - Remix,"0.0073,-0.0194,0.0112,0.0194,-0.0203,0.0279,0.0602,0.0376,-0.0677,-0.0283",0.751295336787565,0.8630289532293987,0.7279489904357068,0.739471626108502,0.04397394136807818,0.17404426559356134,0.0
0NTMtAO2BV4tnGvw9EgBVq,Bitch Better Have My Money,"-0.0388,-0.0114,0.0315,0.0133,0.0147,-0.0040,0.0647,-0.0072,0.0009,-0.0236",0.7720207253886012,0.7026726057906458,0.3804463336875665,0.77865775770113,0.06351791530944625,0.051307847082494966,0.0
0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),"0.0670,0.0073,0.0984,0.0504,-0.0351,-0.0359,0.1309,0.0807,-0.1440,-0.0804",0.6826424870466323,0.40757238307349675,0.179596174282678,0.6712291112261024,0.09283387622149837,0.01106639839034205,0.0
0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song) (with Doja Cat),"0.0362,0.0334,0.0442,0.0089,-0.0508,-0.0401,0.1293,0.0863,-0.1988,-0.1169",0.7098445595854924,0.6380846325167039,0.46227417640807655,0.732985032897024,0.08469055374592833,0.12173038229376257,0.0
0OcpVNf7hnJBPbTFMSG7CI,Frosty the Snowman,"0.0792,0.0084,0.1027,0.0467,-0.0309,-0.0145,0.2385,0.1419,-0.2366,-0.1366",0.25518134715025914,0.8708240534521158,0.5547290116896919,0.6630097979101883,0.06677524429967427,0.22937625754527163,0.0
0OoNzMdPSgbkM5MkcuEZfm,Lock On Me (with Travis Scott & Future),"0.0894,0.0417,0.0646,0.0180,-0.0356,-0.0109,0.2198,0.1567,-0.1712,-0.1411",0.7266839378238344,0.44543429844098004,0.1402763018065888,0.6306212605734245,0.3322475570032573,0.5140845070422535,0.0
0Oqxt6JixieLHbwMfnJGWO,"Paris, Texas (feat. SYML)","0.0492,0.0220,0.0735,0.0555,-0.0579,-0.0413,0.1943,0.1246,-0.1953,-0.1307",0.16839378238341973,0.005567928730512248,0.15727948990435708,0.21707872898138314,0.017915309446254073,0.9909456740442655,0.056603773584905655
0PAcdVzhPO4gq1Iym9ESnK,Thinkin' Bout Me,"0.1125,0.0178,0.0555,0.0653,-0.0577,0.0053,0.2292,0.1322,-0.2260,-0.1528",0.6101036269430054,0.734966592427617,0.41657810839532416,0.7433813535236395,0.013029315960912051,0.49496981891348085,0.0
0PB0O24JqAuNdOAFVJljMS,Coco Chanel,"0.0684,0.0531,0.0228,-0.0124,0.0269,0.0259,0.1194,0.1050,-0.1782,-0.0775",0.6450777202072542,0.7427616926503341,0.1062699256110521,0.7336070349857958,0.03420195439739414,0.04325955734406438,0.0
